shuffle_ds,Var2,Var3,split_prcnts,net_cnn_name,freeze_layers,win_len,overlap_win,overlap_spectrograms,spectrum_type,win_norm,filter_bank_norm,miniBatchSize,InitialLearnRate,L2Regularization,LearnRateDropFactor,ValidationPatience,acc,uar,F1,sensitivity,PPV,specificity,loss_train,loss_val
0.6,0.2,0.2,train_val,vggish,no,256,0.75,0.8,magnitude,0,none,32,0.003,0.001,0.9,5,53.428,58.488,51.65,73.82,40.06,43.2,0.699964317605975,0.683878588676453
0.6,0.2,0.2,train_val,yamnet,no,128,0.5,0.8,power,1,none,32,0.01,0.01,0.9,5,47.9,52.798,47.104,67.6,36.54,38.02,0.751819215309837,0.698508298397064
0.6,0.2,0.2,train_val,openl3,no,256,0.75,0.8,magnitude,1,none,32,0.01,0.01,0.9,5,58.36,61.332,53.628,70.36,44.06,52.32,0.663672699870102,0.677754259109497
0.6,0.2,0.2,train_val,vggish,no,128,0.5,0.75,power,1,none,32,0.003,0.001,0.9,5,53.786,49.828,19.636,37.26,NaN,62.42,0.698645792440942,0.693875300884247
0.6,0.2,0.2,train_val,vggish,no,128,0.5,0.75,power,0,none,16,0.003,0.0001,0.9,5,43.792,53.176,49.004,81.4,35.38,24.96,0.695021600851151,0.689006614685059
0.6,0.2,0.2,train_val,vggish,no,256,0.75,0.8,power,1,none,32,0.003,0.001,0.99,5,43.078,52.272,47.88,79.6,34.92,24.94,0.691734102570689,0.696208643913269
0.6,0.2,0.2,train_val,yamnet,no,128,0.5,0.8,power,1,none,16,0.01,0.0003,0.9,5,53.928,57.678,50.23,68.96,39.74,46.42,0.750122276051924,0.69533839225769
0.6,0.2,0.2,train_val,yamnet,no,256,0.75,0.8,power,0,none,16,0.01,0.01,0.99,5,50.806,54.482,47.334,65.54,37.32,43.44,0.836870576422294,0.705437254905701
0.6,0.2,0.2,train_val,vggish,no,256,0.75,0.75,power,0,none,32,0.003,0.0001,0.9,5,40.096,51.412,48.612,85.52,34.24,17.3,0.717668932672424,0.692006933689117
0.6,0.2,0.2,train_val,vggish,no,256,0.75,0.9,power,1,none,16,0.001,0.003,0.7,5,43.884,54.224,50.784,85.54,37.22,22.94,0.695207849972782,0.693503046035767
0.6,0.2,0.2,train_val,vggish,no,256,0.75,0.8,power,1,none,64,0.003,0.001,0.99,5,46.54,52.248,46.534,69.38,35.12,35.12,0.702816618057829,0.691126489639282
0.6,0.2,0.2,train_val,yamnet,no,256,0.75,0.85,magnitude,0,none,16,0.01,0.0001,0.99,5,54.266,57.398,49.606,66.9,39.6,47.9,0.749283436603727,0.691332471370697
0.6,0.2,0.2,train_val,yamnet,no,128,0.5,0.85,magnitude,0,none,64,0.01,0.001,0.99,5,55.21,59.666,52.794,73.1,41.8,46.2,0.678518135303541,0.668892168998718
0.6,0.2,0.2,train_val,vggish,no,256,0.75,0.9,power,0,none,16,0.003,0.0003,0.99,5,45.696,51.6,39.534,69.66,NaN,33.56,0.693540807514534,0.698445844650269
0.6,0.2,0.2,train_val,openl3,no,128,0.5,0.8,magnitude,1,none,16,0.01,0.01,0.99,5,38.698,50.516,48.214,86.22,33.78,14.84,0.694014098692729,0.69388667345047
0.6,0.2,0.2,train_val,vggish,no,256,0.75,0.75,magnitude,0,none,64,0.01,0.003,0.7,5,52.566,55.518,41.252,64.14,NaN,46.9,0.685157089568173,0.687668454647064
0.6,0.2,0.2,train_val,vggish,no,256,0.75,0.9,power,0,none,32,0.003,0.0003,0.9,5,37.542,48.622,46.714,82.08,32.88,15.16,0.693518784907803,0.690789663791657
0.6,0.2,0.2,train_val,vggish,no,256,0.75,0.9,magnitude,0,none,16,0.01,0.01,0.9,5,38.554,50.528,48.332,86.92,33.74,14.16,0.717771825426412,0.694752085208893
0.6,0.2,0.2,train_val,vggish,no,256,0.75,0.75,magnitude,0,none,64,0.003,0.001,0.99,5,45.402,52.784,48.2,75.18,35.82,30.4,0.676671084990363,0.674384164810181
0.6,0.2,0.2,train_val,yamnet,no,256,0.75,0.75,magnitude,0,none,16,0.003,0.001,0.99,5,51.968,56.17,49.188,68.98,38.6,43.36,0.73404568762532,0.686433637142181
0.6,0.2,0.2,train_val,vggish,no,128,0.5,0.75,power,1,none,32,0.0001,0.003,0.99,5,58.43,61.9,54.05,72.44,43.28,51.38,0.696733423908318,0.673341977596283
0.6,0.2,0.2,train_val,vggish,no,128,0.5,0.9,magnitude,0,none,64,0.003,0.0001,0.7,5,52.08,55.084,41.016,64.14,NaN,46.02,0.719276718777605,0.69775310754776
0.6,0.2,0.2,train_val,vggish,no,256,0.75,0.9,magnitude,0,none,64,0.01,0.0003,0.99,5,35.264,49.164,48.256,91.06,32.88,7.28,0.793125737958148,0.69270167350769
0.6,0.2,0.2,train_val,vggish,no,256,0.75,0.8,magnitude,1,none,64,0.003,0.001,0.99,5,38.182,49.192,47.218,82.76,33.16,15.62,0.695655947383082,0.687672710418701
0.6,0.2,0.2,train_val,openl3,no,128,0.5,0.75,power,1,none,64,0.01,0.01,0.99,5,53.65,57.268,50.274,68.28,40.28,46.26,0.834304379908196,0.665421271324158
0.6,0.2,0.2,train_val,vggish,no,128,0.5,0.85,magnitude,1,none,32,0.003,0.01,0.7,5,38.388,50.344,48.302,86.22,33.84,14.46,0.695857111195813,0.691786205768585
0.6,0.2,0.2,train_val,vggish,no,128,0.5,0.75,magnitude,1,none,32,0.01,0.001,0.99,5,50.958,51.036,29.214,51.06,NaN,51.02,0.737068947285012,0.68747923374176
0.6,0.2,0.2,train_val,vggish,no,128,0.5,0.8,magnitude,0,none,64,0.003,0.001,0.9,5,42.852,53.982,50.56,87.6,36,20.38,0.693730851279086,0.684262204170227
0.6,0.2,0.2,train_val,vggish,no,256,0.75,0.8,power,0,none,64,0.01,0.003,0.9,5,38.16,51.206,49.336,90.36,34.1,12.06,0.728981724082257,0.692387127876282
0.6,0.2,0.2,train_val,yamnet,no,256,0.75,0.75,power,0,none,64,0.01,0.001,0.7,5,58.626,60.674,52.26,66.92,43.26,54.44,0.649082048068313,0.710492563247681
0.6,0.2,0.2,train_val,vggish,no,128,0.5,0.9,power,1,none,64,0.001,0.01,0.99,5,44.928,52.6,48.132,75.88,35.88,29.34,0.686923008498136,0.691907906532288
0.6,0.2,0.2,train_val,vggish,no,128,0.5,0.8,magnitude,1,none,16,0.001,0.001,0.99,5,54.818,59.66,52.868,74.48,42.12,44.84,0.692626258330113,0.676489388942718
0.6,0.2,0.2,train_val,vggish,no,128,0.5,0.75,power,1,none,64,0.003,0.01,0.99,5,47.52,50.188,30.172,58.62,NaN,41.76,0.694383260993792,0.693746662139893
0.6,0.2,0.2,train_val,yamnet,no,256,0.75,0.9,power,0,none,32,0.01,0.01,0.7,5,59.376,61.766,54.3,68.98,45.66,54.56,0.644684815164952,0.65717978477478
