len_fc_cnn,numHiddenUnits,drop_prob,len_fc_lstm,L2Reg,LearnRateDropFactor,UAR_end_train,UAR_end_val,UAR_best_train,UAR_best_val
1024,2048,0.03,512,0.0001,0.5,50.1,50.5,50.11,50.5
2048,2048,0.1,512,0.0003,0.5,50.01,50,50.01,50
1024,2048,0.3,512,0.0003,1,50,50,50,50
1024,2048,0.3,1024,0.0001,0.7,56.7,54.11,56.54,54.42
2048,1024,0.03,1024,0.0001,0.5,58.65,54.41,58.67,54.43
1024,1024,0.3,1024,0.0001,1,50,50,50,50
2048,1024,0.1,1024,3e-05,0.5,60.65,56.93,65.73,57.92
2048,1024,0.3,1024,1e-05,0.7,50,49.98,80.21,57.37
1024,2048,0.1,1024,0.0001,0.7,56.84,54.89,56.79,54.63
2048,2048,0.1,1024,0.0001,0.7,56.21,54.63,60.51,57.06
1024,2048,0.3,512,0.0001,1,51.6,51.81,50,50
1024,1024,0.01,512,0.001,1,52.99,51.49,50,50
2048,1024,0.1,1024,1e-05,0.5,59.91,53.96,77.29,57.62
2048,1024,0.03,1024,0.0003,1,49.9,50.06,50,50
2048,1024,0.3,512,1e-05,0.7,57.77,55.12,95.99,52.46
1024,2048,0.03,512,0.001,0.7,50,50,50,50
1024,2048,0.01,1024,3e-05,0.5,61.44,58.55,63.14,56.53
1024,1024,0.01,1024,0.0003,1,50,50,50,50
2048,1024,0.1,512,0.001,1,50,50,50,50
2048,2048,0.01,512,0.0001,0.5,56.64,55.17,56.64,55.17
2048,2048,0.3,512,3e-05,1,50.34,50.53,50,50
1024,1024,0.03,512,1e-05,1,51.29,50.62,85.88,51.04
1024,2048,0.3,512,0.001,1,50,50,50,50
2048,2048,0.01,512,1e-05,0.5,63.24,58.04,77.26,56.95
1024,1024,0.3,512,0.0001,0.5,58.56,53.95,58.46,55.25
1024,1024,0.1,512,0.0001,0.7,56.85,55.07,56.84,54.92
2048,1024,0.01,512,0.0003,0.7,50,50,50,50
1024,2048,0.1,512,1e-05,1,50.98,51.46,62.4,51.33
2048,2048,0.01,512,0.0001,1,51.86,49.74,50,50
1024,2048,0.03,1024,0.0003,0.5,56.58,55.75,56.58,55.75
1024,2048,0.3,512,0.0001,0.5,55.99,56.03,55.99,56.03
1024,2048,0.03,1024,0.001,0.5,50,50,50,50
2048,2048,0.3,1024,0.001,1,49.4,50.64,50,50
1024,1024,0.3,512,0.001,0.7,50,50,50,50
1024,1024,0.3,512,0.0001,0.7,50,50.06,49.98,50.39
1024,1024,0.1,512,3e-05,1,50,50,50,50
1024,2048,0.3,1024,3e-05,0.7,60.71,57.85,64.01,55.22
2048,2048,0.03,512,0.0003,0.7,50,50,50,50
2048,2048,0.01,512,0.0001,0.7,60.14,56.94,60.89,58.28
2048,2048,0.1,512,0.0001,0.5,54.15,52.83,55.67,52.72
2048,1024,0.3,1024,1e-05,0.7,66.04,57.19,99.62,50.21
2048,2048,0.01,512,0.0003,0.5,54.75,54.1,54.75,54.1
2048,1024,0.01,512,1e-05,0.7,59.76,54.7,99.73,53.48
1024,2048,0.3,512,1e-05,0.5,49.91,50.31,80.01,57
2048,2048,0.03,512,1e-05,0.5,50.44,49.61,70.06,54.41
1024,1024,0.3,512,0.001,0.5,50,50,50,50
1024,1024,0.03,1024,0.001,0.7,50,50,50,50
1024,2048,0.01,512,0.001,0.7,50,50,50,50
2048,1024,0.1,512,0.001,1,50,50,50,50
1024,1024,0.01,512,0.001,1,50,50,50,50
2048,2048,0.3,512,3e-05,1,50,50,50.17,50.26
1024,2048,0.3,512,3e-05,0.7,60.45,56.3,91.2,52.73
1024,1024,0.3,1024,3e-05,1,56.88,55.54,56.88,55.54
2048,1024,0.03,512,0.001,0.5,50,50,50,50
1024,2048,0.3,1024,1e-05,1,50.02,50.06,50,50
2048,1024,0.3,1024,0.0001,0.5,58.32,54.05,58.31,54.05
1024,2048,0.01,512,0.001,0.7,50,50,50,50
2048,1024,0.3,1024,0.001,0.5,50,50,50,50
2048,1024,0.01,512,0.0001,1,50,50,50,50
1024,1024,0.1,512,0.001,1,50,50,50,50
2048,2048,0.1,1024,3e-05,0.5,60.18,54.7,67.41,56.81
2048,1024,0.01,512,3e-05,1,53.01,51.73,50,50
1024,1024,0.03,512,0.001,0.5,50,50,50,50
2048,2048,0.03,512,1e-05,0.7,50.38,50.84,99.93,51.38
1024,2048,0.1,512,0.0001,1,50,50,50,50
2048,1024,0.3,512,0.001,0.7,50,50,50,50
2048,1024,0.01,512,3e-05,0.7,64.84,56.81,96.22,52.65
1024,1024,0.03,512,3e-05,0.5,58.11,55.89,65.28,57.45
1024,2048,0.1,512,0.0003,0.5,50,50,50,50
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
