len_fc_cnn,numHiddenUnits,drop_prob,len_fc_lstm,L2Reg,LearnRateDropFactor,UAR_best_train,UAR_best_val,UAR_end_train,UAR_end_val,loss_best_train,loss_best_val,loss_end_train,loss_end_val
256,1024,0.3,512,0.001,0.7,50.11,50.11,90.09,53.12,0.0958297887747849,0.0956776589155197,0.0381396647620859,0.164941638708115
256,1024,0.03,1024,1e-05,0.5,53.02,48.23,78.41,54.33,0.0961620284621047,0.095492497086525,0.0662594874436868,0.126164808869362
1024,1024,0.03,512,0.0003,0.7,55.98,54.25,88.17,52.74,0.0923184624461885,0.096234031021595,0.0477440895216778,0.153951436281204
256,2048,0.01,256,1e-05,0.5,59.42,54.5,70.16,54.34,0.093949250128771,0.0945225432515144,0.0791876099035246,0.101315312087536
512,2048,0.03,256,3e-05,0.5,61.05,55.78,85.8,54.33,0.0946742988446474,0.094925157725811,0.0500920009805707,0.139599606394768
2048,2048,0.03,512,3e-05,0.5,50.83,49.7,81.71,53.75,0.0954796865357001,0.0954693406820297,0.0564674260133193,0.122352734208107
2048,2048,0.3,256,0.0003,0.7,50.07,49.97,80.36,48.83,0.097958514446385,0.0965001881122589,0.0544709954122555,0.153887242078781
1024,2048,0.1,1024,0.001,0.7,50.09,50.21,65.91,52.7,0.0958238732495039,0.0956659540534019,0.0824715711350618,0.112822398543358
256,1024,0.03,1024,1e-05,0.5,64.19,57.87,75.72,52.65,0.0923540245541762,0.095514789223671,0.0709611315182839,0.111291527748108
2048,2048,0.1,512,0.001,0.5,53.52,51.15,72.24,53.43,0.0930573674946245,0.0957449823617935,0.0684334701990409,0.1106848269701
2048,512,0.03,256,0.0001,0.7,50.37,51.03,92.34,50.38,0.0948524201030047,0.0960887968540192,0.0238066409050616,0.238673567771912
512,2048,0.3,512,0.0001,0.7,60.24,57.95,84.39,52.15,0.0948578262499225,0.0950960218906403,0.0545667249983512,0.162593051791191
2048,1024,0.1,512,0.0003,0.5,50,50,75.1,53.73,0.094411658161567,0.0950522869825363,0.0727660793662481,0.104084044694901
256,1024,0.03,512,0.0003,0.7,59.53,51.07,94.57,54,0.0941772877278403,0.0959060490131378,0.0283707583398703,0.227155730128288
256,1024,0.03,256,1e-05,0.7,51.9,49.09,95.66,51.37,0.0954139130228446,0.095338799059391,0.0229284286899672,0.221778154373169
256,1024,0.3,512,3e-05,0.7,50,50,91.5,49.73,0.0955743524213892,0.0951723903417587,0.0334326374963274,0.192363828420639
512,1024,0.3,256,0.0001,1,49.25,49.37,50,50,0.129224479198456,0.0964163839817047,0.0968959135102029,0.0979786142706871
2048,2048,0.3,512,1e-05,0.5,58.5,54.02,65.99,55.6,0.092731021693107,0.0946126505732536,0.0849023928822235,0.0997085273265839
256,512,0.1,512,1e-05,0.5,55.98,50.37,58.35,51.62,0.0910990464115487,0.0956359431147575,0.0903518536887766,0.0960026010870934
512,2048,0.3,1024,0.001,0.7,60.78,58.42,91.72,51.12,0.0919327773333129,0.0957841724157333,0.0307450847135936,0.192817270755768
256,1024,0.3,512,3e-05,0.5,53.44,54.82,68.11,57,0.0957061135539326,0.0952722430229187,0.0785635501643363,0.102567747235298
512,2048,0.1,512,0.0003,0.7,50,50,85.74,55.35,0.0978237655772181,0.0954078882932663,0.0441882897548229,0.195795655250549
256,2048,0.1,1024,0.0001,0.5,65.53,55.75,76.27,55.08,0.0912377438680916,0.0949280261993408,0.071316608373829,0.108580991625786
2048,2048,0.03,1024,0.001,1,50,50,50,50,0.102025765108257,0.0958814099431038,0.096728596744093,0.0965950414538383
256,512,0.3,512,0.0001,1,50,50,50,50,0.0965740996959941,0.0962449461221695,0.095959580081939,0.0968599542975426
2048,512,0.03,512,0.0001,1,50.02,50,50,50,0.102934619411826,0.0970506742596626,0.0967502717692226,0.0972863435745239
2048,512,0.03,512,0.0001,0.5,57.77,53.68,80.61,51.34,0.096227392943722,0.0956217721104622,0.0564711161721318,0.121082715690136
256,2048,0.01,512,3e-05,0.7,55.69,53.43,92.64,49.93,0.0940251337617964,0.0946216881275177,0.0282009481425183,0.207261070609093
2048,512,0.01,1024,0.0003,1,50,50,50,50,0.0982220206368699,0.095946878194809,0.0966216778482581,0.0967767909169197
1024,2048,0.01,1024,3e-05,0.5,55.03,53.57,55.21,53.42,0.0922589496270007,0.0953713282942772,0.092554697923188,0.0977282226085663
1024,1024,0.01,256,0.0003,0.5,54.84,53.17,77.85,52.6,0.0932544125231211,0.0943962037563324,0.066069914302193,0.118212640285492
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
