"datasetNames","splitPrcnts,,","shuffleDatasets","changeSubjectsOrder","winLen","overlapCoeffWin","overlapCoeffSpectrograms","SpectrumType","WindowNormalization","FilterBankNormalization","numHiddenUnits","dropProb","MaxEpochs","miniBatchSize","InitialLearnRate","L2Regularization","LearnRateDropFactor","ValidationPatience","ACC","UAR","F1","sensitivity","PPV","specificity","auc","trainLOSS","valLOSS"
"voca,coughvid,coswara","0.6,0.2,0.2","train_val","no","256","0.75","0.7","power","1","none","256","0.3","30","4","0.001","0.001","0.99","10","37.3983739837398","52.1252204585538","51.8156917602177","98.5714285714286","35.1502940770388","5.67901234567901","52.2163433274544","0.716371558717004","0.694650590419769"
"voca,coughvid,coswara","0.6,0.2,0.2","train_val","no","128","0.5","0.8","magnitude","0","none","512","0.1","30","4","0.0003","0.001","0.9","10","71.869918699187","73.9417989417989","66.1989858939073","80.4761904761905","56.7696931646222","67.4074074074074","78.7830687830688","0.550697059943168","0.547963392734528"
"voca,coughvid,coswara","0.6,0.2,0.2","train_val","no","256","0.75","0.8","magnitude","0","none","1024","0.05","30","4","0.001","0.003","0.9","10","43.739837398374","55.3350970017637","52.8380934827311","91.9047619047619","37.2073149114486","18.7654320987654","52.6249265138154","0.706704666967126","0.695475804805756"
"voca,coughvid,coswara","0.6,0.2,0.2","train_val","no","256","0.75","0.85","magnitude","1","none","512","0.2","30","4","0.003","0.01","0.7","10","40.1626016260163","53.994708994709","52.7781043628679","97.6190476190476","36.213565679107","10.3703703703704","52.3691945914168","0.727864438019417","0.695579195022583"
"voca,coughvid,coswara","0.6,0.2,0.2","train_val","no","128","0.5","0.75","power","0","none","512","0.2","30","4","0.01","0.0003","0.9","10","34.7967479674797","50.4938271604938","51.1589514779699","100","34.3721023987099","0.987654320987654","49.0476190476191","0.861492854039426","0.69666862487793"
"voca,coughvid,coswara","0.6,0.2,0.2","train_val","no","128","0.5","0.8","power","0","none","1024","0.1","30","4","0.001","0.0001","0.9","10","41.4634146341463","54.0652557319224","52.3898915926471","93.8095238095238","36.5771858547467","14.320987654321","51.1669606114051","0.708314876010021","0.690793561935425"
"voca,coughvid,coswara","0.6,0.2,0.2","train_val","no","128","0.5","0.75","magnitude","1","none","1024","0.05","30","4","0.0001","0.0003","0.9","10","74.1463414634146","72.9188712522046","64.5782004736921","69.0476190476191","62.2604784242964","76.7901234567901","75.1616696061141","0.5194280325987","0.569624054431915"
"voca,coughvid,coswara","0.6,0.2,0.2","train_val","no","128","0.5","0.7","magnitude","1","none","512","0.05","30","4","0.01","0.001","0.7","10","38.5365853658537","52.8747795414462","52.1767374293818","98.0952380952381","35.5760292560346","7.65432098765432","50.8348030570253","0.745348762030955","0.69559280872345"
"voca,coughvid,coswara","0.6,0.2,0.2","train_val","no","256","0.75","0.75","magnitude","0","none","512","0.1","30","4","0.01","0.001","0.9","10","38.5365853658537","52.4162257495591","51.7210015967743","96.1904761904762","35.5452761424166","8.64197530864197","52.9805996472663","1.04020635201078","0.700105810165405"
"voca,coughvid,coswara","0.6,0.2,0.2","train_val","no","256","0.75","0.7","magnitude","1","none","512","0.01","30","4","0.0001","0.0001","0.99","10","78.6991869918699","77.7513227513228","70.6607619711068","74.7619047619048","67.8373414025588","80.7407407407407","81.9753086419753","0.414443183603645","0.504709047079086"
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
"",",,","","","","","","","","","","","","","","","","","","","","","","","","",""
